GEOID,NAME,tot_popE,hispanicE,nh_whiteE,nh_blackE,nh_aianE,nh_asianE,nh_pacislanderE,non_citizenE,hispanicE_share,nh_whiteE_share,nh_blackE_share,nh_aianE_share,nh_asianE_share,nh_pacislanderE_share,non_citizenE_share,over55,disability_est,mhi,ZCTA5CE20
19140,ZCTA5 19140,51766,21360,1629,27267,13,688,8,2262,0.412626047985164,0.03146853146853147,0.5267356952439826,2.5113008538422905e-4,0.013290576826488428,1.545415910056794e-4,0.04369663485685585,13343,12381,22790,19140
17509,ZCTA5 17509,4822,39,4619,73,0,24,0,26,0.008087930319369557,0.957901285773538,0.015138946495230196,0,0.004977187888842804,0,0.005391953546246371,1147,400,68788,17509
19333,ZCTA5 19333,6911,247,5238,248,0,1135,0,806,0.035740124439299664,0.757922153089278,0.035884821299377805,0,0.1642309361886847,0,0.11662566922297786,2037,375,109111,19333
19333,ZCTA5 19333,6911,247,5238,248,0,1135,0,806,0.035740124439299664,0.757922153089278,0.035884821299377805,0,0.1642309361886847,0,0.11662566922297786,2037,375,109111,19333
19341,ZCTA5 19341,17572,893,12925,801,0,2805,0,1808,0.05081948554518552,0.735545185522422,0.04558388345094468,0,0.1596289551559299,0,0.1028909628955156,5208,1833,103203,19341
19344,ZCTA5 19344,11988,182,11359,325,0,79,0,94,0.015181848515181848,0.9475308641975309,0.027110443777110443,0,0.006589923256589923,0,0.007841174507841175,4065,1679,66009,19344
19350,ZCTA5 19350,11424,607,10014,162,0,387,0,277,0.05313375350140056,0.8765756302521008,0.014180672268907563,0,0.033876050420168065,0,0.02424719887955182,4049,905,139049,19350
19403,ZCTA5 19403,46592,2645,34304,4109,21,4728,9,3264,0.05676940247252747,0.7362637362637363,0.08819110576923077,4.5072115384615387e-4,0.10147664835164835,1.9316620879120878e-4,0.07005494505494506,15077,4640,86787,19403
19435,ZCTA5 19435,175,0,175,0,0,0,0,0,0,1,0,0,0,0,0,8,31,131331,19435
19457,ZCTA5 19457,87,0,68,0,0,19,0,0,0,0.7816091954022989,0,0,0.21839080459770116,0,0,45,45,NA,19457
19137,ZCTA5 19137,8347,821,7118,304,5,33,0,68,0.09835869174553732,0.8527614711872529,0.03642027075596022,5.990176111177668e-4,0.003953516233377261,0,0.008146639511201629,2346,1626,53255,19137
