GEOID,NAME,tot_popE,hispanicE,nh_whiteE,nh_blackE,nh_aianE,nh_asianE,nh_pacislanderE,non_citizenE,hispanicE_share,nh_whiteE_share,nh_blackE_share,nh_aianE_share,nh_asianE_share,nh_pacislanderE_share,non_citizenE_share,over55,disability_est,mhi,ZCTA5CE20
19403,ZCTA5 19403,46592,2645,34304,4109,21,4728,9,3264,0.05676940247252747,0.7362637362637363,0.08819110576923077,4.5072115384615387e-4,0.10147664835164835,1.9316620879120878e-4,0.07005494505494506,15077,4640,86787,19403
19435,ZCTA5 19435,175,0,175,0,0,0,0,0,0,1,0,0,0,0,0,8,31,131331,19435
19046,ZCTA5 19046,17660,865,14919,977,0,555,0,212,0.04898074745186863,0.8447904869762174,0.05532276330690827,0,0.03142695356738392,0,0.012004530011325029,6796,2355,103212,19046
19075,ZCTA5 19075,7632,428,6244,502,0,213,0,66,0.05607966457023061,0.8181341719077568,0.06577568134171907,0,0.02790880503144654,0,0.008647798742138365,2100,617,104928,19075
19038,ZCTA5 19038,31415,1338,24099,4231,7,974,0,790,0.042591118892248925,0.7671176189718287,0.13468088492758237,2.2282349196243832e-4,0.03100429731020213,0,0.025147222664332326,9899,3365,97415,19038
19437,ZCTA5 19437,1122,0,1054,0,0,33,0,19,0,0.9393939393939394,0,0,0.029411764705882353,0,0.01693404634581105,373,17,175278,19437
19444,ZCTA5 19444,10890,303,9705,309,24,449,0,216,0.027823691460055096,0.8911845730027548,0.02837465564738292,0.0022038567493112946,0.04123048668503214,0,0.019834710743801654,4059,918,119189,19444
19446,ZCTA5 19446,56720,2571,42208,3117,90,7623,0,3727,0.045327926657263755,0.7441466854724965,0.05495416078984485,0.0015867418899858955,0.13439703808180536,0,0.06570874471086037,19877,5853,87158,19446
19453,ZCTA5 19453,1732,19,1642,0,0,71,0,14,0.010969976905311778,0.9480369515011547,0,0,0.040993071593533485,0,0.008083140877598153,662,294,61865,19453
19465,ZCTA5 19465,17473,641,15651,402,11,486,0,334,0.03668517140731414,0.8957248325988668,0.023006924969953643,6.29542723058433e-4,0.027814342127854403,0,0.019115206318319693,5342,1759,89953,19465
