anon_ID,county,poverty,minority,age_group
531,Montgomery,No,NA,T
581,Montgomery,No,NA,D
337,Montgomery,No,NA,T
254,Montgomery,Yes,NA,D
415,Montgomery,Yes,NA,D
72,Montgomery,Yes,Yes,T
533,Montgomery,No,NA,P
592,Montgomery,No,NA,T
33,Montgomery,No,No,T
95,Montgomery,No,NA,T
346,Montgomery,Yes,NA,P
58,Montgomery,Yes,NA,NA
510,Montgomery,No,NA,P
626,Montgomery,No,No,D
168,Montgomery,No,Yes,T
361,Montgomery,Yes,Yes,T
582,Montgomery,No,No,G
382,Montgomery,Yes,No,G
201,Montgomery,Yes,NA,G
139,Montgomery,Yes,No,P
516,Montgomery,No,No,G
449,Montgomery,Yes,No,D
478,Montgomery,Yes,NA,P
609,Montgomery,Yes,No,T
229,Montgomery,Yes,NA,P
191,Montgomery,No,NA,T
210,Montgomery,No,Yes,P
529,Montgomery,Yes,Yes,T
588,Montgomery,Yes,Yes,T
538,Montgomery,Yes,Yes,P
314,Montgomery,No,Yes,T
24,Montgomery,No,No,T
347,Montgomery,Yes,No,G
371,Montgomery,Yes,NA,NA
221,Montgomery,Yes,NA,G
406,Montgomery,No,No,G
461,Montgomery,Yes,NA,G
342,Montgomery,Yes,NA,G
69,Montgomery,Yes,NA,NA
214,Montgomery,No,NA,P
457,Montgomery,No,No,D
440,Montgomery,No,NA,D
14,Montgomery,Yes,Yes,D
614,Montgomery,Yes,NA,G
622,Montgomery,Yes,NA,T
593,Montgomery,No,No,T
279,Montgomery,Yes,No,P
316,Montgomery,Yes,Yes,D
226,Montgomery,No,NA,T
137,Montgomery,Yes,NA,P
586,Montgomery,Yes,Yes,D
44,Montgomery,No,NA,P
185,Montgomery,No,NA,T
502,Montgomery,Yes,Yes,G
470,Montgomery,No,NA,G
330,Montgomery,Yes,NA,G
530,Montgomery,Yes,Yes,P
466,Montgomery,No,NA,NA
500,Montgomery,Yes,NA,G
618,Montgomery,Yes,NA,G
422,Montgomery,Yes,NA,T
208,Montgomery,No,Yes,T
189,Montgomery,Yes,No,T
475,Montgomery,Yes,No,T
564,Montgomery,No,NA,D
369,Montgomery,Yes,NA,T
513,Montgomery,No,NA,P
335,Montgomery,No,NA,D
296,Montgomery,Yes,No,D
46,Montgomery,Yes,NA,P
603,Montgomery,No,No,T
119,Montgomery,Yes,NA,D
151,Montgomery,No,NA,D
599,Montgomery,No,NA,G
154,Montgomery,No,NA,T
300,Montgomery,No,NA,D
322,Montgomery,Yes,NA,G
35,Montgomery,No,NA,G
360,Montgomery,No,NA,G
520,Montgomery,Yes,No,T
326,Montgomery,No,NA,T
230,Montgomery,No,NA,G
318,Montgomery,Yes,NA,G
336,Montgomery,No,No,P
143,Montgomery,Yes,No,D
424,Montgomery,No,NA,T
524,Montgomery,Yes,NA,D
488,Montgomery,Yes,NA,P
106,Montgomery,No,NA,T
436,Montgomery,Yes,Yes,P
456,Montgomery,Yes,NA,G
625,Montgomery,Yes,Yes,D
253,Montgomery,Yes,NA,T
569,Montgomery,Yes,NA,G
239,Montgomery,No,No,P
103,Montgomery,No,No,P
640,Montgomery,Yes,NA,T
85,Montgomery,Yes,NA,G
312,Montgomery,Yes,NA,G
522,Montgomery,Yes,NA,NA
34,Montgomery,Yes,NA,T
394,Montgomery,Yes,NA,T
216,Montgomery,Yes,NA,NA
450,Montgomery,Yes,NA,T
308,Montgomery,Yes,Yes,D
585,Montgomery,No,NA,P
561,Montgomery,Yes,No,D
192,Montgomery,No,No,T
637,Montgomery,No,NA,P
601,Montgomery,Yes,NA,G
170,Montgomery,No,NA,G
257,Montgomery,No,NA,T
309,Montgomery,Yes,NA,G
607,Montgomery,Yes,Yes,D
142,Montgomery,Yes,NA,G
90,Montgomery,Yes,NA,NA
268,Montgomery,Yes,Yes,D
383,Montgomery,Yes,No,G
490,Montgomery,Yes,NA,NA
365,Montgomery,Yes,NA,NA
413,Montgomery,No,NA,P
84,Montgomery,Yes,NA,G
162,Montgomery,Yes,NA,G
515,Montgomery,No,NA,D
604,Montgomery,Yes,No,D
521,Montgomery,No,NA,D
67,Montgomery,Yes,NA,G
82,Montgomery,Yes,NA,NA
165,Montgomery,Yes,NA,D
153,Montgomery,Yes,NA,G
544,Montgomery,No,NA,T
145,Montgomery,No,NA,D
354,Montgomery,Yes,NA,D
147,Montgomery,No,NA,T
505,Montgomery,Yes,Yes,T
86,Montgomery,Yes,NA,D
273,Montgomery,Yes,NA,D
476,Montgomery,Yes,No,T
568,Montgomery,Yes,NA,G
104,Montgomery,No,NA,G
128,Montgomery,Yes,Yes,D
57,Montgomery,No,NA,D
615,Montgomery,Yes,NA,D
526,Montgomery,Yes,NA,G
574,Montgomery,No,NA,D
414,Montgomery,No,No,P
59,Montgomery,Yes,NA,T
22,Montgomery,Yes,NA,G
283,Montgomery,No,NA,D
97,Montgomery,Yes,NA,G
332,Montgomery,No,No,P
589,Montgomery,Yes,NA,D
508,Montgomery,Yes,No,G
557,Montgomery,Yes,NA,T
435,Montgomery,No,NA,D
129,Montgomery,Yes,NA,G
45,Montgomery,No,NA,P
101,Montgomery,Yes,NA,D
261,Montgomery,Yes,NA,P
73,Montgomery,Yes,NA,P
43,Montgomery,No,NA,T
619,Montgomery,Yes,NA,G
252,Montgomery,Yes,NA,G
540,Montgomery,Yes,Yes,P
198,Montgomery,Yes,Yes,P
53,Montgomery,Yes,No,P
317,Montgomery,Yes,Yes,P
403,Montgomery,Yes,NA,T
536,Montgomery,Yes,NA,P
158,Montgomery,Yes,NA,NA
590,Montgomery,Yes,NA,G
477,Montgomery,Yes,NA,NA
460,Montgomery,Yes,NA,G
576,Montgomery,Yes,NA,G
376,Montgomery,No,NA,G
367,Montgomery,Yes,NA,T
39,Montgomery,Yes,NA,D
427,Montgomery,Yes,NA,NA
542,Montgomery,No,NA,G
284,Montgomery,No,NA,T
2,Montgomery,No,No,D
235,Montgomery,Yes,NA,NA
639,Montgomery,Yes,NA,G
565,Montgomery,Yes,NA,T
199,Montgomery,No,NA,G
178,Montgomery,No,NA,P
