anon_donor_id,zip,status,do_not_mail,do_not_call,organisation,date,amount,form,campaign,target
92,19003,Active,FALSE,FALSE,N,01/01/2019,40,Check,Clients,Gift
321,19096,Active,FALSE,FALSE,N,01/02/2019,25,Check,Fall Towns,Gift
559,19146,Active,FALSE,FALSE,N,01/02/2019,250,Check,Fall Towns,Gift
926,19041,Active,FALSE,FALSE,N,01/03/2019,50,Check,Fall Towns,Gift
860,10038,Active,FALSE,FALSE,N,01/04/2019,165,Check,Misc,Gift
956,19003,Active,FALSE,FALSE,N,01/07/2019,32,Check,Fall Towns,Gift
835,19072,Active,FALSE,FALSE,N,01/07/2019,100,Check,Board,Gift
119,19041,Active,FALSE,FALSE,N,01/08/2019,100,Check,Board,Gift
485,19041,Active,FALSE,FALSE,N,01/09/2019,50,Check,Fall Towns,Gift
192,19403,Active,FALSE,FALSE,N,01/09/2019,1000,Check,Corporatio,Gift
396,19010,Active,FALSE,FALSE,N,01/10/2019,20000,Check,Corporatio,Gift
818,19066,Active,FALSE,FALSE,N,01/10/2019,35,Check,Fall Towns,Gift
578,19003,Active,FALSE,FALSE,N,01/11/2019,10,Check,Clients,Gift
463,19003,Active,FALSE,FALSE,N,01/13/2019,50,Check,Fall Towns,Gift
663,19096,Active,FALSE,FALSE,N,01/14/2019,25,Check,Fall Towns,Gift
864,20814,Active,FALSE,FALSE,N,01/15/2019,304.01,Check,Misc,Gift
781,19010,Active,FALSE,FALSE,N,01/17/2019,50,Check,Mem-hon,Gift
602,19103,Active,FALSE,FALSE,N,01/17/2019,1500,Check,Foundation,Gift
588,19003,Active,FALSE,FALSE,N,01/18/2019,50,Check,Fall Towns,Gift
743,NA,Active,FALSE,FALSE,Y,01/18/2019,50,Check,Fall Towns,Gift
743,NA,Active,FALSE,FALSE,Y,01/20/2019,4,Check,Fall Towns,Gift
517,19096,Active,FALSE,FALSE,N,01/21/2019,5,Check,Fall Towns,Gift
776,NA,Active,FALSE,FALSE,N,01/22/2019,150,Check,Fall Towns,Gift
34,19103,Active,FALSE,FALSE,N,01/22/2019,9567,Check,Misc,Gift
628,19010,Active,FALSE,FALSE,N,01/23/2019,20,Check,Board,Gift
34,19103,Active,FALSE,FALSE,N,01/23/2019,500,Check,Fall Towns,Gift
