anon_ID,assistance_date,assistance_category,amount,unit
102,1/3/2019 10:00,Food Pantry: Food Pantry Poundage,25,Pounds
178,1/3/2019 10:00,Food Pantry: Food Pantry Poundage,25,Pounds
588,1/3/2019 10:30,Food Pantry: Food Pantry Poundage,25,Pounds
502,1/3/2019 11:15,Food Pantry: Food Pantry Poundage,25,Pounds
232,1/3/2019 11:30,Food Pantry: Food Pantry Poundage,25,Pounds
361,1/3/2019 11:40,Food Pantry: Food Pantry Poundage,25,Pounds
361,1/3/2019 11:40,Food Pantry: Food Pantry Poundage,25,Pounds
478,1/3/2019 11:55,Food Pantry: Food Pantry Poundage,25,Pounds
599,1/3/2019 12:45,Food Pantry: Food Pantry Poundage,25,Pounds
122,1/3/2019 13:00,Food Pantry: Food Pantry Poundage,25,Pounds
611,1/3/2019 13:10,Food Pantry: Food Pantry Poundage,25,Pounds
475,1/3/2019 13:20,Food Pantry: Food Pantry Poundage,25,Pounds
369,1/3/2019 13:20,Food Pantry: Food Pantry Poundage,25,Pounds
405,1/3/2019 13:20,Food Pantry: Food Pantry Poundage,25,Pounds
273,1/3/2019 14:10,Food Pantry: Food Pantry Poundage,25,Pounds
456,1/3/2019 14:15,Food Pantry: Food Pantry Poundage,25,Pounds
257,1/3/2019 14:25,Food Pantry: Food Pantry Poundage,25,Pounds
516,1/3/2019 14:55,Food Pantry: Food Pantry Poundage,25,Pounds
565,1/3/2019 14:55,Food Pantry: Food Pantry Poundage,25,Pounds
73,1/3/2019 15:20,Food Pantry: Food Pantry Poundage,25,Pounds
263,1/3/2019 15:25,Food Pantry: Food Pantry Poundage,25,Pounds
335,1/7/2019 11:10,Food Pantry: Food Pantry Poundage,25,Pounds
102,1/7/2019 12:10,Food Pantry: Food Pantry Poundage,25,Pounds
145,1/8/2019 10:00,Food Pantry: Food Pantry Poundage,25,Pounds
625,1/8/2019 10:15,Food Pantry: Food Pantry Poundage,25,Pounds
544,1/8/2019 10:25,Food Pantry: Food Pantry Poundage,25,Pounds
436,1/8/2019 11:00,Food Pantry: Food Pantry Poundage,25,Pounds
322,1/8/2019 11:10,Food Pantry: Food Pantry Poundage,25,Pounds
51,1/8/2019 11:40,Food Pantry: Food Pantry Poundage,25,Pounds
210,1/8/2019 11:40,Food Pantry: Food Pantry Poundage,25,Pounds
46,1/8/2019 11:45,Food Pantry: Food Pantry Poundage,25,Pounds
450,1/8/2019 12:00,Food Pantry: Food Pantry Poundage,25,Pounds
215,1/8/2019 12:10,Food Pantry: Easter Outreach,4,Boxes/Bags
293,1/8/2019 12:30,Food Pantry: Food Pantry Poundage,25,Pounds
562,1/8/2019 12:35,Food Pantry: Food Pantry Poundage,25,Pounds
29,1/8/2019 12:50,Food Pantry: Food Pantry Poundage,25,Pounds
517,1/8/2019 13:00,Food Pantry: Food Pantry Poundage,25,Pounds
309,1/8/2019 13:15,Food Pantry: Food Pantry Poundage,25,Pounds
440,1/8/2019 13:40,Food Pantry: Food Pantry Poundage,25,Pounds
487,1/8/2019 14:00,Food Pantry: Food Pantry Poundage,25,Pounds
